Input.sentence,Input.emphasize,Answer.rewrite
Ortega had threatened to end a 19-month-old ceasefire,19-month-old,The ceasefire that Ortega had threatened to end was 19 months old
And some fund groups said investors actually became net buyers,net,And some fund groups said investors actually became buyers in the category of net
Tymnet is a major network linking computers,major,Tymnet is a network linking computers that is major
I thought your editorial was factually accurate and deliberately elucidative,elucidative,N/A
Unease is widespread among exchange members,widespread,Among exchange members unease is widespread
The union though has called the offer insulting,insulting,N/A
Corporate profits may also dip initially,Corporate,The profits that also may dip initially are corporate
The fundamentals are pretty strong Mr. Dreman says,strong,Mr. Dreman says the fundamentals are pretty strong
When industries were weak it protected them,weak,It protected them when industries were weak
But at this point that may just be wishful thinking,wishful,But at this point that may just be thinking that is wishful
That 's not fair they 're not all fat,fair,They are not all fat so that is not fair
Nor is CBS a shoo-in to get blockbuster ratings,blockbuster,Nor is CBS a shoo-in to get ratings considered to be blockbuster
But the Fed move was a small gesture traders said,small,Traders said that the Fed move was only a gesture that was small
That 's not fair they 're not all fat,fat,N/A
But for photofinishers developing costs for black-and-white film are higher,black-and-white,But for photofinishers film developing costs are higher for film that's black-and-white
There were no new issues,new,There were no issues that were new
Reward El Espectador 's courage with real support,real,Reward El Espectador 's courage with support that is real
In fact they seemed a mite resentful,resentful,N/A
Indeed abortion-rights activists still face their greatest tests,greatest,The tests that abortion rights activists still face are indeed their greatest
But for photofinishers developing costs for black-and-white film are higher,higher,N/A
Manufacturers have survived the turmoil in China largely unscathed,unscathed,N/A
Mr. Friend says his side is dead serious,serious,N/A
But one far-afield effect is still with us,far-afield,But still with us is one effect that's far-afield
EAST GERMANS RALLIED in three cities to demand democratic freedoms,democratic,EAST GERMANS RALLIED in three cities to demand freedoms which were democratic
The analysts say their gloomy forecasts have a flip side,gloomy,The analysts say they have a flip side to their forecasts that are gloomy
Then he unleashed his own unstoppable attack,own,The unstoppable attack that he unleashed was his own
Expansion plans also include acquisitions in growing foreign markets,foreign,Expansion plans also include acquisitions in growing markets which are foreign
Home Nutritional currently has 10 million shares outstanding,outstanding,N/A
Poachers would control the underground trade,underground,Poachers would control the trade that is underground
The analysts say their gloomy forecasts have a flip side,flip,The analysts say their gloomy forecasts have another side on the flip
Then he unleashed his own unstoppable attack,unstoppable,His own attack that he unleashed was unstoppable
A further problem is razor-thin profits,further,The problem of razor-thin profits was further
Now was that a quarter cup or a half cup,half,Was that cup a quarter or half
I think you have to give Greenspan a good rating,good,I think you have to give Greenspan a rating that is good
His humility gives him a much better chance of success,better,His chance of success that his humility gives him is much better
A further problem is razor-thin profits,razor-thin,A further problem is profits that are razor-thin
They looked at the miniature and saw a giant folly,giant,They looked at the miniature and saw a folly which was giant
Also the Big Board met with angry stock specialists,angry,The stock specialists the Big Board met with were angry
He became angry in return,angry,In return he became angry
But this is almost an underground activity,underground,But this is an activity that is almost underground
They serve the industries and the special-interest groups,special-interest,They serve the industries and the groups of special-interest
The old and revised numbers both include over-allotment provisions,old,The numbers that include over allotment provisions are revised and old
It 's just not cost efficient he says,efficient,He says it is just not cost efficient
Limiting care wo n't be easy or popular,easy,Limiting care will not be popular or easy
Heady stuff it 's not,Heady,It's not stuff that's heady
The old and revised numbers both include over-allotment provisions,over-allotment,The old and revised numbers both include provisions which are over-allotment
Broader averages also posted modest gains,Broader,Averages that posted modest gains were broader
Blue chips led the march up in heavy trading,Blue,The chips that led the march up in heavy trading were blue
My relationships with the British are totally different,different,N/A
Limiting care wo n't be easy or popular,popular,N/A
Broader averages also posted modest gains,modest,Broader averages also posted for gains that are modest
What could imply more safety than investing in government bonds,more,Besides investing in government bonds could anything imply safety more
Blue chips led the march up in heavy trading,heavy,Blue chips led the march up in trading that was heavy
But the complex language is n't the only reason,complex,The only reason is not the language which is complex
The farmer at the next truck shouts Wheat,next,The farmer that shouts Wheat is at the truck that's next
Also profit rose 19 % in the third quarter,third,Also profit rose 19% in the quarter third
But Trelleborg still must clear some tough hurdles,tough,But Trelleborg still must clear some hurdles which are tough
But the complex language is n't the only reason,only,But the reason isn't the complex language only
"The minimum unit is 100,000",minimum,"100,000 is the unit minimum"
Michael late yesterday announced a 3.8 million stock buy-back program,buy-back,Michael late yesterday announced a 3.8 million program for stock buy-back
Nissan will introduce a completely revamped Sentra next fall,next,Nissan will introduce a completely revamped Sentra in the fall coming next
Population Drain Ends For Midwestern States,Midwestern,Population Drain Ends For States That Are Midwestern
Other temperature data show similar unexplained swings,Other,Similar unexplained swings are shown in temperature data categorized as other
Spiegel is 84%-controlled by the Otto family of West Germany,84%-controlled,The Otto family of West Germany has a portion of Spiegel which is 84%-controlled
Everybody 's finger is one inch closer to the button,closer,To the button everybody's finger is one inch closer
The Treasury 's benchmark 30-year bond rose 1\/8 point,30-year,The bond that rose 1\/8 point was the Treasury's benchmark 30-year
And pregnant women are fat,pregnant,And the women that are fat are pregnant
The Polish rat will eat well this winter,Polish,The rat that will eat well this winter is Polish
And pregnant women are fat,fat,N/A
That compares with 3.5 % butterfat for whole milk,whole,That compares with 3.5% butterfat for milk that's whole
USX is funneling drilling pipe to steel-hungry Soviet Union,steel-hungry,USX is funneling drilling pipe to the Soviet Union who is steel hungry
Shrubs and flowers give it a pleasing and non-fortress-like appearance,non-fortress-like,Shrubs and flowers give it a pleasing appearance that's non-fortress-like
His Tuesday night team the Leftovers is in first place,first,The place his Tuesday night team left the Leftovers was first
