Input.sentence,Input.emphasize,Answer.rewrite
Anti-nuclear activists took a less positive view,took,Taking a less positive view is what anti-nuclear activists did
Apparently however the improvement came too late,came,The coming of the improvement however was apparently too late
Meanwhile at home Mitsubishi has control of some major projects,control,The controlling of some major projects happens meanwhile at home by Mitsubishi
Sir Richard succeeds John Plastow who resigned in July,succeeds,The succeeding of Sir Richard is from John Plastow who resigned in July
How many shares will be around in 1995 he asked,asked,The asking of how many shares will be around in 1995 came from him
Japanese department stores are also wary of attracting negative publicity,attracting,Attracting negative publicity is what Japanese department stores are also wary of doing
The computers will display stock prices selected by users,display,Displaying of stock prices selected by users will be done by the computers
Peter Gumbel in Moscow contributed to this article,contributed,Contribution to this article was done by Peter Gumbel in Moscow
Some are even coming up with their own novel designs,coming,The coming up with their own novel designs is being done by some
Did Mr. Loeb seek personal gain and if so how,Did,N/A
She said a more aggressive move was n't needed,needed,She said the need for a more aggressive move didn't happen
Since then she has become wealthy,become,Becoming wealthy is what she has done since then
Officials at Carnival declined to comment,declined,The declining to comment came from the officials at Carnival
The antibody then kills the cell,kills,Killing the cell is what the antibody then does
The predictions of doom are premature she says,says,Saying The predictions of doom are premature is what she does
It now takes something really weird to inspire public outrage,takes,Taking something really weird is what it now does to inspire public outrage
Mr. Baker promises to return if the haunting continues,return,Returning if the haunting continues is what Mr. Baker promises to do
Cincinnati Bell Inc. said net declined 1.8 %,declined,Declining 1.8 % was what net did Cincinnati Bell Inc. said
What the Arabs started inflation finished,started,The starting of it by the Arabs was finished by inflation
Some have raised their cash positions to record levels,raised,Raising their cash positions to record levels is what some have done
I just do n't understand it,do,N/A
They effectively lead team efforts to reduce cycle time,reduce,The reducing of the cycle time was effectively lead by team efforts
Mr. Smith is trying hard to allay the anger,trying,The trying to allay the anger is done hard by Mr Smith
Buy stocks on weakness for their long-term fundamentals he says,says,Saying Buy stocks on weakness for their long-term fundamentals is what he does
McCaw 's offer is scheduled to expire tomorrow,scheduled,Scheduled to expire tomorrow is McCaw 's offer.
Known as Easy Eggs the product has disappointed investors,Known,N/A
David B. Hilder in New York contributed to this article,contributed,The contribution of this article was made by David B Hilder in New York
Proceeds from the offering are about 160.4 million,offering,The offering from the proceeds is about 160.4 million
Mr. Rey made 50 million Swiss francs on the sale,made,Making 50 million Swiss francs on the sale was Mr Rey
But stunning volatility was produced in the process,produced,The producing of stunning volatility was done during the process
Conservatives shoot their own he says,says,The saying that conservatives shoot their own comes from him
Proceeds will be used to eliminate and restructure bank debt,restructure,Restructuring bank debt and eliminating it is what proceeds will be used to do
Many economists expect the weakness to continue,continue,Continuing is what many economists expect the weakness to do
The suit seeks unspecified damages,seeks,The seeking of unspecified damages comes from the suit
How deeply do they read it,do,N/A
The bill is expected to pass in Congress next month,pass,The passing of the bill in Congress is expected to happen next month
Revenue rose 3 % to 9 million from 8.8 million,rose,The rising of revenue was 3 percent from 8.8 million to 9 million
The Dow Jones industrials closed at 2569.26,closed,Closing at 2569.26 were the Dow Jones industrials
His dismissal triggered a furor among intellectuals that continues today,continues,The continuation today of a furor among intellectuals was triggered by his dismissal
Revenue rose 27 % to 715.1 million from 563.8 million,rose,Rising 27 % to 715.1 million from 563.8 million was what revenue did
The interview did not touch on Singapore 's domestic affairs,did,N/A
For Cathay Pacific Airways the smooth ride may be ending,ending,Ending is what the smooth ride for Cathay Pacific Airways may be doing
They want to do more,want,Wanting to do more is what they are doing
Stock prices finished about unchanged Friday in quiet expiration trading,finished,The finishing of stock prices was unchanged Friday in quiet expiration trading
In last week 's House vote 41 Republicans defected,defected,Defection in last week 's House vote was done by 41 Republicans
It 's just not cost efficient he says,says,The saying that it is just not cost efficient came from him
Occasionally all that 's needed is a little coaxing,needed,N/A
Known as Easy Eggs the product has disappointed investors,disappointed,The disappointment of investors has been caused by the product known as Easy Eggs
But they think promotions are limited,limited,N/A
I think you have to give Greenspan a good rating,think,The thinking I have of Greenspan is to give it a good rating
Wall Street is n't avoiding everything connected with paper,connected,The connecting of everything to paper is not something Wall Street is avoiding
That 's just what Joseph Granville expects,expects,Expecting just that is what Joseph Granville is doing
CALIFORNIA A TREND-SETTER in franchising rules stirs a controversy,stirs,The stirring of a controversy is due to franchising rules from California A Trend Setter
Litigation Sciences does n't make moral distinctions,make,Making moral distinctions is what Litigation Sciences does not do
The company plans to be fully operational today,plans,The planning by the company is to be fully operational today
He said the normal ratio is five to six weeks,said,Saying that the normal ratio is five to six weeks is what he did
CompuServe provides about 20 % of both sales and earnings,provides,The providing of about 20 percent of both sales and earnings comes from CompuServe
In these circumstances I think they 'd win,think,Thinking they would win is what I do in these circumstances
She thought I was n't getting my practicing done,getting,Getting my practicing done was something she thought I was not doing
It was like a play on Broadway recalls Mr. Martinez,recalls,Recalling that it was like a play on Broadway is what Mr. Martinez does
Measures of manufacturing activity fell more than the overall measures,manufacturing,N/A
The two sides had n't met since Oct. 18,met,The meeting of the two sides has not occurred since Oct 18
Imports of goods and services soared while exports were flat,soared,Soaring while exports were flat were imports of goods and services
However for many managing speed does not come naturally,come,Coming naturally is however for many what managing speed does not do
He describes a drowned corpse as Esther Williams,describes,The describing of the drowned corpse he likened to Esther Williams
How can we turn this situation around,turn,The turning around of this situation is something we question
It 's too disruptive he says,says,Saying It 's too disruptive is what he does
Anne does n't believe in blandness said Ms. Smith,believe,Believing in blandness is something Anne does not do said Ms Smith
Mr. Allday would succeed Martha Hesse who is resigning,succeed,The succeeding of Mr Allday would come as Martha Hesse is resigning
Of course Mr. Mason did not use neutral language,use,Using neutral language is of course what Mr Mason did not do
Crane dropped 1 1\/8 to 21 1\/8,dropped,Dropping 1 1\/8 to 21 1\/8 is what Crane did
Paper work on how it was spent is incomplete,spent,The spending of it on paperwork is incomplete
Cincinnati Microwave Inc. said it introduced two radar detectors,said,Saying it introduced two radar detectors was Cincinnati Microwave Inc
Sales gained 16 % to 1.03 billion from 894 million,gained,Gaining 16 % to 1.03 billion from 894 million were sales
But then it was acquired by Household International Inc,acquired,But acquisition by Household International Inc then happened to it
"Kyocera advanced 80 yen to 5,440",advanced,The advancing of Kyocera was 80 yen to 5440
American Home Products Corp. proposes to acquire the company,acquire,The acquiring of the company was proposed by American Home Products Corp
He intends to add to the litigation staff,intends,Intending to add to the litigation staff is what he does
California enacted a rights law in 1988,enacted,Enacting of a rights law in 1988 is what California did
American Home Products Corp. proposes to acquire the company,proposes,Proposing to acquire the company is what American Home Products Corp does
Occasionally all that 's needed is a little coaxing,coaxing,A little coaxing is occasionally all that is needed
These figures are n't seasonally adjusted,adjusted,N/A
Is this what the home builders want,want,The wanting of this could be by home builders
Just say the offices are tastefully appointed he says,says,Saying Just say the offices are tastefully appointed is what he does
They always listened but they never acted Mr. Guber says,says,Saying They always listened but they never acted is what  Mr. Guber does
The company has been manufacturing carpet since 1967,manufacturing,Manufacturing carpet since 1967 is what the company has been doing
Tom Herman contributed to this article,contributed,Contributing to this article was Tom Herman
Measures of manufacturing activity fell more than the overall measures,fell,The fall of measures of manufacturing activity was greater than the overall measures
"Prices peaked at 1,150,000 in September 1987",peaked,"Peaking at 1,150,000 in September 1987 is what prices did"
The offer made June 1 has been extended several times,extended,Extending several times is what the offer made June 1 has been doing
Many bankers view property-sector loans as particularly risky,view,Viewing property-sector loans as particularly risky is what many bankers do
She thought I was n't getting my practicing done,done,N/A
Himont Quantum and Union Carbide all declined to comment,comment,Commenting is what Himont Quantum and Union Carbide all declined to do
We are n't forced sellers,forced,N/A
I find it very difficult to say that,find,Finding it very difficult to say that is what I am doing
But investors do n't seem to think so,think,But thinking so is what investors do not seem to do
The company 's sales flattened during 1989 's first half,flattened,Flattening during 1989 's first half is what sales of the company did
There 's some price at which we 'd stop bidding,stop,The stopping price exists at which we would would stop bidding
Nasdaq 's gain was led by its biggest industrial stocks,led,Leading by its biggest industrial stocks was what Nasdaq 's gain did
Call it the we 're too broke to fight defense,fight,The fighting of the defense because we are too broke is what we should call it
Not everyone has jumped on the Breeden bandwagon however,jumped,Jumping on the Breeden bandwagon however is not what everyone has done
Trading activity cooled off from Monday 's sizzling pace,cooled,The cooling of the trading activity was off from Mondays sizzling pace
But under Alan Greenspan that has changed,changed,But changing is what that has done under Alan Greenspan
It implies very dramatic growth he said,implies,Implying very dramatic growth is what it does he said
The DAX dropped 19.69 points Friday to 1462.93,dropped,Dropping 19.69 points Friday to 1462.93 was the DAX
Noriega managed the whole thing,managed,The managing of the whole thing was done by Noriega
The media she says have distorted his personal life,distorted,Distorting his personal life is what the media have done she says
The fundamentals do n't change in an hour he says,do,N/A
Esselte Business Systems rose 1 to 43 1\/2,rose,The rising of 1 to 43 1V2 was by Esselte Business Systems
The transaction would mark the entry of P&G into cosmetics,mark,Marking the entry of P&G into cosmetics is what the transaction would do
When selling is so frenzied prices fall steeply and fast,fall,The fall of prices steeply and fast happens when selling is so frenzied
Please submit your offers says Felipe Bince Jr,says,Saying Please submit your offers is what Felipe Bince Jr does
I do n't talk about my work he says,says,Saying I do n't talk about my work is what he does
That contract was tied to the success of the buy-out,tied,The tying of the contract is to the success of the buy out
It is known in the Pentagon as the negative wedge,known,The knowing of it in the Pentagon is as the negative wedge
Still Time 's move is being received well once again,being,Being received well once again is Time's move still
Proceeds from those sales will be used to reduce debt,reduce,Reduction of debt is what proceeds from those sales will be used for
I 've surrendered to the circumstances Mr. Fedders says,'ve,N/A
Mr Pyszkiewicz smiles and his brow furrows,smiles,Smiling is what Mr Pyszkiewicz does and his brow furrows
The CIA told him it does not do domestic counterespionage,does,N/A
You can think long range,think,Having thought that's long range is something you can do
Terms include a royalty arrangement but details were n't disclosed,disclosed,Disclosing details was not done but terms include a royalty arrangement
I wish them all the best,wish,Wishing them all the best is what I do
If so the damages could be tripled,tripled,The tripling of the damages could occur
The drug was introduced in West Germany this year,introduced,Introduced in West Germany this year was the drug
Terms include a royalty arrangement but details were n't disclosed,include,The including of a royalty arrangement was in the terms but details were not disclosed
Working with lawyers she says I need it,need,The needing of it is conveyed by her through working with lawyers
Britain 's unsettled political scene also worries some investors,worries,Also worrying some investors is what Britain 's unsettled political scene is doing
PENALTY OVERHAUL is still likely congressional sources say,say,Saying that PENALTY OVERHAUL is still likely is what congressional sources are doing
South African gold stocks ended marginally firmer,ended,Ending marginally firmer were South African gold stocks
The computers will display stock prices selected by users,selected,The selecting of stock prices by users will be displayed by the computers
Similar proposals were defeated in at least 15 other states,defeated,The defeating of similar proposals occurred in at least 15 other states
Couple Counseling Grows to Defuse Stress,Grows,Growing to defuse stress is what couple counseling is doing
Corporations need liquidity in the form of borrowed funds,borrowed,The borrowing of funds in that form is needed by corporations for liquidity
Still there is money to be made,made,Making of money is still there
Mr. Sukle says he would n't dream of participating himself,says,Saying he would n't dream of participating himself is what Mr Sukle does
The scars will be here years after the polls close,close,The closing of the polls will not affect the scars that will be here for years after
It implies very dramatic growth he said,said,The saying that it implies very dramatic growth came from him
Afterwards I went home and practiced for three hours,went,The going home afterwards was when I practiced for three hours
He speaks only in Filipino,speaks,Speaking only in Filipino is what he does
Like Lebanon Israel is being remade by demography,remade,The remaking of Israel by demography is like Lebanon
That may be the last thing she needs,needs,Needing that may be the last thing she does
The Delicious hegemony wo n't end anytime soon,end,The ending of the delicious hegemony will not be anytime soon
Take Your Vacation In a Hurricane Area,Take,The taking of a vacation is in a hurricane area
He explains that companies with real estate give security,explains,Explaining that companies with real estate give security was he
They were absolutely killed slaughtered said one Chicago-based options trader,said,The saying that they were killed slaughtered came from one Chicago based options trader
Officials there declined to comment as did Helmsley management,did,N/A
He became angry in return,became,Becoming angry in return was what he did
Other companies figure they ca n't avoid the market,avoid,The avoiding of the market is something other companies figure they cannot do
There 's no finger to be pointed she said,pointed,The pointing of a finger is not to be done she said
We ca n't do without their help says Mrs. Conradie,do,Doing without their help is what we cannot do says Mrs. Conradie
Craig Forman in London contributed to this article,contributed,Contributing to this article was Craig Forman in London
Estimated and actual results involving losses are omitted,Estimated,The estimating and actual results involving losses are omitted
Revenue rose 15 % to 2.17 billion from 1.89 billion,rose,Rising 15 % to 2.17 billion from 1.89 billion was revenue
My position is well-known and well-stated he replied,replied,Replying My position is well-known and well-stated is what he did
That 's OK Mr. Sagan replies,replies,The replying of it being ok comes from Mr Sagan
They talked of the home run,talked,Talking of the home run is what they did
But they think promotions are limited,think,But thinking promotions are limited is what they do
Others prefer deep-discount zero-coupon bonds,prefer,Preferring deep-discount zero-coupon bonds were others
Mr. Friend says his side is dead serious,says,Saying that his side is dead serious was Mr Friend
But so-called outer month contracts finished higher,finished,The finishing of the so called outer month contracts was higher
Several projects he said are still on the drawing board,said,Saying that several projects are still on the drawing board is what he did
Integrated made its announcement after the market closed,made,The making of the announcement came from Integrated after the market closed
Artists and draftsmen need harder leads,need,Needing harder leads are artists and draftsmen
Some companies including Heinz even pay part of the fee,pay,Paying part of the fee is what some companies including Heinz even do
Reluctant Advertisers Try Soft-Sell Spots,Try,The trying of soft cell spots is done by reluctant advertisers
Proceeds will be used to eliminate and restructure bank debt,eliminate,Eliminating and restructuring bank debt is what proceeds will be used to do
Mervin Lung remains chairman and chief executive officer,remains,Remaining as chairman and chief executive officer is Mervin Lung
Revenue climbed 4.3 % to 14.31 billion from 13.71 billion,climbed,Climbing 4.3 % to 14.31 billion from 13.71 billion is what revenue did
We 've got a lot to do he acknowledged,acknowledged,Acknowledging that we have got a lot to do is what he did
Chief executives and presidents had come and gone,gone,N/A
The price was n't disclosed,disclosed,Disclosing of the price was not done
Polymerix makes lumber-like materials that it describes as plastic wood,makes,Making lumber-like materials that it describes as plastic wood is what Polymerix does
Is this the wrong time to open a store,Is,N/A
A 60-day to 65-day supply is considered normal,considered,Considered as normal is what a 60-day to 65-day supply is
Prudential Insurance is based in Newark N.J,based,The basing in Newark NJ is by Prudential Insurance
The Japanese take the long view said Mr. Veronis,said,Saying The Japanese take the long view was Mr Veronis
Remember the Dalkon Shield and the early birth-control pills,Remember,Remembering of the Dalkon Shield and the early birth-control pills
And in some neighborhoods rents have merely hit a plateau,hit,And hitting a plateau is what rents in some neighborhoods have merely done
Shortage and crisis became buzz words although neither really applied,applied,The applying of shortage and crisis as buzz words never really occurred
The resignation came as a great surprise,came,Coming as a great surprise was the resignation
Mr. Noriega was growing desperate,growing,The growth of desperation was something Mr. Noriega experienced
What the Arabs started inflation finished,finished,Finishing what the Arabs started is what inflation did
The shift wo n't affect operations,affect,The affect of operations will not happen by the shift
Capital Associates dropped 1 to 5 3\/8,dropped,Dropping 1 to 5 3\/8 was Capital Associates
How deeply do they read it,read,The reading of how deeply it is is questioned
Did Mr. Loeb seek personal gain and if so how,seek,N/A
UAL finished at 170 off 8 3\/8,finished,Finishing at 170 off 8 3\/8 was UAL
The Dow Jones industrials gained 4.92 to 2643.65,gained,Gaining 4.92 to 2643.65 were the Dow Jones industrials
Litigation Sciences does n't make moral distinctions,does,N/A
Cincinnati Microwave Inc. said it introduced two radar detectors,introduced,The introduction of two radar detectors was something Cincinnati Microwave Inc. said it did
It 's good exercise he says,says,Saying It 's good exercise is what he does
Nashua announced the Reiss request after the market closed,announced,The announcing of the Reiss request came from Nashua after the market closed
I 've surrendered to the circumstances Mr. Fedders says,says,Saying I 've surrendered to the circumstances is what Mr. Fedders does
The real tragedies occurred elsewhere as we soon found out,occurred,Occurring elsewhere as we soon found out were the real tragedies
The council plans to release its regional reports monthly,release,The releasing of its regional reports has been planned monthly by the council
"Seats currently are quoted at 410,000 bid 425,000 asked",quoted,The quoting of current seats at 410000 are asked to bid at 425000
Both Philip Morris and Backer Spielvogel declined to comment,declined,The declining to comment came from both Philip Morris and Backer Spielvogel
Starting tomorrow I 'm stalking you,stalking,Stalking you is what I am doing starting tomorrow
USX is funneling drilling pipe to steel-hungry Soviet Union,funneling,Funneling drilling pipe to steel-hungry Soviet Union is what USX is doing
Whittle has met some resistance,met,Meeting some resistance is what Whittle has done
Another challenges Merrill Lynch 's bond recommendation last year,challenges,The challenging by another to Merrill Lynchs bond recommendation happened last year
Unless the questions are answered I will keep on going,keep,Keeping on going unless the questions are answered is what I will do
Likewise no government will stop this idea of the Afrikaners,stop,Stopping of this idea of the Afrikaners is likewise what no government will do
The work though sounds like Muzak for spaceships,sounds,Sounding like Muzak for spaceships is what the work does
But on Oct. 6 he had reason to celebrate,celebrate,But celebrating is something he had reason to do on Oct 6
Buy stocks on weakness for their long-term fundamentals he says,Buy,The buying of stocks he said was on weakness for their long term fundamentals
They 're getting some major wins she added,getting,Getting some major wins is what they are doing she added
In fact they seemed a mite resentful,seemed,Seeming a mite resentful is in fact what they did
But it was the underlying situation that became intolerable,became,But becoming intolerable is what the underlying situation was doing
Officials there declined to comment as did Helmsley management,declined,The declining to comment came from both Helmsley management and official there
I could n't afford to hire 16 whites,hire,The hiring of 16 whites is something I could not afford
The CIA told him it does not do domestic counterespionage,told,Telling him it does not do domestic counterespionage was the CIA
Tokyu Construction gained 170 to 1610,gained,The gaining of 170 to 1610 was to Tokyo Construction
Nekoosa also is being advised by Goldman Sachs & Co,being,Being advised by Goldman Sachs & Co is what Nekoosa is also doing
Essentially the critics of stock-index futures fall into two camps,fall,Falling into two camps are essentially the critics of stock-index futures
We certainly see an increasing trend toward that she added,see,Seeing an increasing trend toward that is what we certainly are doing she added
But investors looking for alternatives are n't finding it easy,looking,The looking for alternatives by investors has not been easily found
Working with lawyers she says I need it,says,Saying that Working with lawyers I need it is what she does
I do n't talk about my work he says,talk,Talking about my work is something he says I don't do
They both called it a welcome home gathering,called,Calling it a welcome home gathering is what they both did
Do n't be such a pessimist Mr. Ambassador,Do,N/A
The Japanese take the long view said Mr. Veronis,take,Taking the long view is what the Japanese do said Mr Veronis
Mr. Ahmad 's lawyer said he would appeal,appeal,Appealing is what Mr. Ahmad 's lawyer said he would do
He also leads an opulent life style,leads,Leading an opulent life style is what he also does
Revenues rose 8.8 % to 4.35 billion from 4.0 billion,rose,Rising 8.8 % to 4.35 billion from 4.0 billion is what revenues did
The gene thus can prevent a plant from fertilizing itself,prevent,Preventing a plant from fertilizing itself is thus what the gene can do
Jeff Rowe contributed to this article,contributed,Contributing to this article was done by Jeff Rowe
Maybe they learned from experience,learned,Learning from experience is maybe what they did
She said a more aggressive move was n't needed,said,Saying that a more aggressive move was n't needed is what she did
Dell Computer dropped 7\/8 to 6,dropped,The dropping of Dell Computer was 7V8 to 6
Veiling his message has helped him endure,Veiling,Veiling of his message is what has helped him endure
It 's better to wait,wait,Waiting is what it is better to do
Three companies began trading over the counter,trading,The trading over the counter began by three companies
But critics consider the changes regressive,consider,The considering of the changes to be regressive is done by critics
Three companies began trading over the counter,began,Beginning of trading over the counter was done by three companies
What could imply more safety than investing in government bonds,investing,The investing in government bonds is what implies more safety
I thought your editorial was factually accurate and deliberately elucidative,thought,Thinking your editorial was factually accurate and deliberately elucidative was what I did
The association said domestic demand grew 8.8 % in September,grew,Growing 8.8 % in September was domestic demand the association said
Estimated and actual results involving losses are omitted,omitted,Omission is what is done to estimated and actual results involving losses
Guaranteed by Mitsubishi Bank Ltd,Guaranteed,N/A
Competitors are known as the enemy,known,Known as the enemy are competitors
The selling that started on Friday continued yesterday,continued,Continuing yesterday was the selling that started on Friday
It 's that we do n't want to,do,N/A
The dollar also moved higher in Tokyo,moved,Moving higher in Tokyo is also what the dollar did
That is a little disturbing Ms. Kleinman said,said,Saying That is a little disturbing was Ms Kleinman
Mr. Glazer could n't immediately be reached to comment,comment,Commenting is what Mr. Glazer could n't immediately be reached to do
The Japanese government does n't allow this,allow,The allowing of this isn't something that the Japanese government does
Just say the offices are tastefully appointed he says,say,Saying the offices are tastefully appointed is just what to do he says
Warehouse productivity is really beginning to take off,beginning,The beginning of the take off is due to warehouse productivity
Mine comes from seeing thriving communities devastated but only temporarily,seeing,Seeing thriving communities devastated but only temporarily is where mine comes from
Some in Arizona think that may be optimistic,think,Thinking that may be optimistic is what some in Arizona are doing
Mr. Maynard claims this is a manageable problem,claims,Claiming that this is a manageable problem is what Mr Maynard does
Many law firms sponsor their own programs,sponsor,Sponsorship of their own programs is done by many law firms
It 's bad soil he says,says,Saying it is bad soil is what he does
You do n't know which way to punch,do,N/A
Japanese government bonds showed little change,showed,Showing little change were Japanese government bonds
I would like to have had them he said,like,Liking having had them is something I would do he said
HEALTH CLUBS gear up for a graying clientele,graying,N/A
He sees a psychoanalyst five mornings a week,sees,The seeing of a psychoanalyst is done by him five mornings a week
His dismissal triggered a furor among intellectuals that continues today,triggered,Triggering a furor among intellectuals that continues today is what his dismissal did
We certainly see an increasing trend toward that she added,added,The addition she made was that we certainly see an increasing trend toward that
USAir fell 2 1\/2 to 40,fell,Falling 2 1\/2 to 40 was USAir
He explains that companies with real estate give security,give,Giving security he explains is what companies with real estate do
Officials there declined to comment as did Helmsley management,comment,Commenting is what officials there declined as did Helmsley management to do
HEALTH CLUBS gear up for a graying clientele,gear,Gearing up for a graying clientele is what health clubs are doing
The senators responded in kind,responded,The response from the senators was in kind
Friday brings the final count on October auto sales,brings,Bringing the final count on October auto sales is Friday
The association said domestic demand grew 8.8 % in September,said,The saying that the domestic demand grew 8.8 percent in September came from the association
CHRISTMAS SHOPPERS find a helping hand from some catalog companies,find,Finding a helping hand from some catalog companies is what Christmas shoppers are doing
But Pfizer Inc. based in New York reported flat earnings,reported,Reporting flat earnings is what Pfizer Inc. based in New York did however
Americans did n't dislike metrics they simply ignored them,dislike,The disliking of metrics by Americans did not occur as they simply ignored them
More venturesome businesses are applying their skills in commercial fields,applying,Applying their skills in commercial fields is what more venturesome businesses are doing
So what 's a parent to do,do,N/A
He sits down at the piano and plays,sits,Sitting down at the piano and playing is what he does
Mr. Sukle says he would n't dream of participating himself,participating,Participating himself is something Mr. Sukle says he would not dream of
The failed bank had assets of about 129.6 million,failed,The failing of the bank included assets of about 129.6 million
In these circumstances I think they 'd win,win,Winning is what I think they would do in these circumstances
Then he unleashed his own unstoppable attack,unleashed,Unleashing his own unstoppable attack was what he then did
But the U.S. companies are redoubling their efforts,redoubling,But the redoubling of efforts is done by the U.S. companies
The comparable year-earlier number was 56 million a spokesman said,said,The saying that the comparable year earlier number was 56 million was made by a spokesman
Sales rose 2.6 % to 1.32 billion from 1.29 billion,rose,The rise in sales of 2.6% was from 1.29 billion to 1.32 billion
DWG is a holding company controlled by Mr. Posner,controlled,Controlling of the holding company DWG is done by Mr Posner
"Seats currently are quoted at 410,000 bid 425,000 asked",asked,N/A
It now takes something really weird to inspire public outrage,inspire,Inspiring public outrage now takes something really weird to do
They saw an opportunity created by the sell-off,created,The creating of the sell off occurred when they saw an opportunity
We ca n't do without their help says Mrs. Conradie,says,Saying We can not do without their help is Mrs Conradie
"Fanuc gained 100 to 7,580",gained,The gaining of 100 to 7580 came from Fanuc
They note that stocks experienced volatile swings long before futures,experienced,The experiencing of volatile swings they noted happened to stocks long before futures
I still say do n't look down,say,Saying do not look down is what I still do
"Advancing OTC stocks outpaced decliners by 1,120 to 806",outpaced,Outpacing decliners by 1120 to 806 were advancing OTC stocks
She thought I was n't getting my practicing done,thought,Thinking that I was n't getting my practicing done is what she did
Conservatives shoot their own he says,shoot,Shooting their own is what he says conservatives do
White children empty the wastepaper baskets and squeegee the windows,empty,The emptying of the wastepaper baskets is done by white children who also squeegee the windows
Dick Darman call your office,call,The calling to your office was by Dick Darman
The Treasury 's benchmark 30-year rose fractionally,rose,Rising fractionally is what the Treasury 's benchmark 30-year did
It 's that we do n't want to,want,Wanting to is what we do not do
But it was the underlying situation that became intolerable,underlying,N/A
Like many sports buffs Mr. Engelken has turned cynic,turned,Turning cynic is what Mr. Engelken like many sports buffs has done
The CIA told him it does not do domestic counterespionage,do,Doing domestic counterespionage is what the CIA told him it does not do
And prosecutors declined to comment,comment,Commenting is what prosecutors declined to do
The plant was evacuated and workers sent home,sent,The sending home of workers was due to the plant being evacuated
Bally officials decline to discuss the situation,discuss,Discussion of the situation is declined by Bally officials
And the egg producers have done a pretty good job,done,And doing a pretty good job were the egg producers
I would like to have had them he said,said,The statement he made was I would like to have had them
Bally officials decline to discuss the situation,decline,Declining to discuss the situation were Bally officials
The second portion will be completed the following year,completed,Completion the following year is what will happen to the second portion
But reform has n't taken hold yet,taken,But taking hold is what the reform has not done yet
Consider Adopting Your Spouse 's Name,Adopting,Adopting your spouse 's name is what you should consider
Of course Mr. Mason did not use neutral language,did,N/A
CHRISTMAS SHOPPERS find a helping hand from some catalog companies,helping,N/A
It just is n't done,done,Doing it just is not done
The session failed to enact any new curbs,failed,Failing to enact any new curbs is what the session did
Manufacturers too are stretching further to lure buyers,lure,Luring buyers is what manufacturers too are stretching further to do
The house just settled right down into the ground,settled,Settling right down into the ground is what the house just did
We wanted them to build a road here he says,build,The building of a road is what we wanted here he says
The service did n't identify its Tokyu sources,did,N/A
They showed up but did n't or could n't challenge,challenge,The challenging did not and could not happen despite that they showed up
The 6 3\/4 % notes yield 6.25 %,yield,Yielding 6.25 % are the 6 3\/4 % notes
Either way the ghostbusting business is going like gangbusters,going,Going like gangbusters is either way what the ghostbusting business is doing
Is this the wrong time to open a store,open,N/A
Like Lebanon Israel is being remade by demography,being,The being remade of Israel by demography is like Lebanon
And many have done just that,done,And doing just that is what many have done
Terms of the transaction were n't disclosed,disclosed,The disclosing of the terms of the transaction did not occur
Still Time 's move is being received well once again,received,The receiving well of Times move is happening once again
The lobby says no again,says,Saying no again is what the lobby is doing
Everybody was afraid of him Mr. Ingersoll says,says,Saying Everybody was afraid of him is what Mr. Ingersoll does
The offering is scheduled to expire on Nov. 30,expire,The expiring of the offering is scheduled for Nov 30
Sales rose slightly to 2.68 billion from 2.66 billion,rose,Rising slightly to 2.68 billion from 2.66 billion were sales
Officials at Carnival declined to comment,comment,Commenting is what officials at Carnival declined to do
The interview did not touch on Singapore 's domestic affairs,touch,Touching on Singapore 's domestic affairs is something the interview did not do
Ortega had threatened to end a 19-month-old ceasefire,end,.Ending a 19-month-old ceasefire is what Ortega had threatened to do
Tell us about the HUD scandals,Tell,N/A
Revenue slipped 4.6 % to 835 million from 876 million,slipped,Slipping 4.6 % to 835 million from 876 million was revenue
A closing date has n't been set,set,Setting of a closing date has not been done
The loan to UMNO was made in September 1983,made,Making of the loan to UMNO was done in September 1983
SENATE HEARS final arguments in impeachment trial of federal judge,HEARS,The hearing of final arguments in the Senate is for the impeachment trial of a federal judge
Plant lovers who studied the maquette were alarmed,alarmed,N/A
That compares with 3.5 % butterfat for whole milk,compares,Comparing with 3.5 % butterfat for whole milk is that
People start their own businesses for many reasons,start,Starting their own businesses is what people are doing for many reasons
It liquefies in a patchwork quilt pattern,liquefies,Liquefying in a patchwork quilt pattern is what it does
Housing Developers Try Brand-Name Buildings,Try,Trying brand name buildings is what housing developers do
Additional cable partners could boost subscribers even further,boost,Boosting subscribers even further is what additional cable partners could do
They want late-night shuttles to the biology labs,want,Wanting late-night shuttles to the biology labs is what they do
He seems to be typical of many professional money managers,seems,Seeming to be typical of many professional money managers is what he is
Mr. Edelson could n't be reached for comment,reached,Reaching Mr Edelson for comment is what could not be done
Other money managers also opened their wallets,opened,Opening their wallets is what other money managers also did
Mr. Dozen knows these problems firsthand,knows,Knowledge of these problems firsthand is something Mr. Dozen has
I was in the Berkeley Main library when it hit,hit,The hitting of it occurred when I was in the Berkeley Main library
Clients include Miller Brewing Co. and General Motors,include,The including of Miller Brewing Co and General Motors are as clients
The company estimates its total debt at about 5.2 billion,estimates,The estimating of its total debt at about 5.2 million is done by the company
Unless the questions are answered I will keep on going,going,Going is what I will keep on doing unless the questions are answered
Warehouse productivity is really beginning to take off,take,Taking off is what warehouse productivity is really beginning to do
The fundamentals do n't change in an hour he says,change,Changing in an hour is what the fundamentals do not do he says
Copper prices fell sharply Friday afternoon,fell,Falling sharply Friday afternoon were copper prices
